AssetName, MemCost.Asset, MemCost.Inst, Tgt MemCost.Asset, Tgt MemCost.Inst
/CRD_VehicleSpawners/SetupAssets/BasicTruck/PID_Device_BasicTruck_Spawner, 28492568, 426671, 28492568, 426671
/CRD_VehicleSpawners/SetupAssets/BigRig/PID_Device_BigRig_Spawner, 25518358, 31119, 25518358, 31119
/CRD_VehicleSpawners/SetupAssets/Biplane/PID_Device_Biplane_Spawner, 15948793, 427575, 15948793, 427575
/CRD_VehicleSpawners/SetupAssets/Cannon/PID_Device_Cannon_Spawner, 8772131, 37307, 8772131, 37307
/CRD_VehicleSpawners/SetupAssets/DriftBoard/PID_Device_Driftboard_Spawner, 8741597, 427503, 8741597, 427503
/CRD_VehicleSpawners/SetupAssets/MotorBoat/PID_Device_Boat_Spawner, 14695364, 427503, 14695364, 427503
/CRD_VehicleSpawners/SetupAssets/Quadcrasher/PID_Device_Quadcrasher_Spawner, 18668622, 37879, 18668622, 37879
/CRD_VehicleSpawners/SetupAssets/ShoppingCart/PID_Device_ShoppingCart_Spawner, 14245654, 36991, 14245654, 36991
/CRD_VehicleSpawners/SetupAssets/SportsCar/PID_Device_SportsCar_Spawner, 26834318, 426671, 26834318, 426671
/CRD_VehicleSpawners/SetupAssets/Surfboard/PID_Device_Surfboard_Spawner, 8577125, 26655, 8577125, 26655
/CRD_VehicleSpawners/SetupAssets/Taxi/PID_Device_Taxi_Spawner, 11570444, 426671, 11570444, 426671
/CRD_VFX_Creator/SetupAssets/PID_CP_Devices_VFX_Creator, 919541, 62581, 919541, 62581
/CRD_VFX_Spawner/SetupAssets/PID_Device_PointOfLight, 628419, 16592, 628419, 16592
/CRD_VFX_Spawner/SetupAssets/PID_Device_VFX_Spawner, 521119, 63552, 521119, 63552
/CRD_VolumetricRegion/SetupAssets/PID_CP_Device_Barrier, 1048285, 39180, 1048285, 39180
/CRD_VolumetricRegion/SetupAssets/PID_CP_Device_Mutator, 1291851, 33508, 1291851, 33508
/CRD_VolumetricRegion/SetupAssets/PID_CP_Device_SkydiveVolume, 437832, 62868, 437832, 62868
